"Fiscal
Year",Country,Quantity
2013, GA,16690
2013, MD,1240
2013, MA,2660
2013, NY,2090
2013, IL,10540
2013, TX,16470
2013, CO,3990
2013, MI,4950
2013, TX,50480
2013, TX,20580
2013, CA,25680
2013, FL,12310
2013, LA,33040
2013, NY,3570
2013, NJ,5340
2013, PA,5420
2013, AZ,46380
2013, UT,4370
2013, TX,112400
2013, CA,27970
2013, CA,14860
2013, WA,7240
2013, MN,4710
2013, D.C.,4350
2014, GA,13620
2014, MD,1270
2014, MA,2080
2014, NY,2910
2014, IL,8550
2014, TX,17640
2014, CO,2790
2014, MI,4220
2014, TX,42220
2014, TX,22910
2014, CA,18340
2014, FL,11800
2014, LA,28580
2014, NY,3390
2014, NJ,6020
2014, PA,4640
2014, AZ,43210
2014, UT,2480
2014, TX,138540
2014, CA,16850
2014, CA,5950
2014, WA,4310
2014, MN,3550
2014, D.C.,3410
2015, GA,7930
2015, MD,850
2015, MA,1270
2015, NY,1790
2015, IL,4620
2015, TX,13520
2015, CO,1800
2015, MI,2860
2015, TX,42230
2015, TX,18040
2015, CA,11840
2015, FL,7460
2015, LA,19360
2015, NY,1620
2015, NJ,3670
2015, PA,3940
2015, AZ,34960
2015, UT,2070
2015, TX,91460
2015, CA,19210
2015, CA,3870
2015, WA,2570
2015, MN,2230
2015, D.C.,2400
2016, GA,5340
2016, MD,1030
2016, MA,1280
2016, NY,1930
2016, IL,3900
2016, TX,13480
2016, CO,2140
2016, MI,2150
2016, TX,51450
2016, TX,19310
2016, CA,13610
2016, FL,8460
2016, LA,20070
2016, NY,1570
2016, NJ,3600
2016, PA,3850
2016, AZ,41280
2016, UT,2380
2016, TX,109650
2016, CA,26260
2016, CA,4020
2016, WA,2690
2016, MN,1920
2016, D.C.,2060
2017, GA,10240
2017, MD,1040
2017, MA,1590
2017, NY,2070
2017, IL,5310
2017, TX,16400
2017, CO,2480
2017, MI,3050
2017, TX,39900
2017, TX,18280
2017, CA,11400
2017, FL,9800
2017, LA,33530
2017, NY,2050
2017, NJ,3310
2017, PA,4300
2017, AZ,35580
2017, UT,3210
2017, TX,88760
2017, CA,14340
2017, CA,5590
2017, WA,2510
2017, MN,3330
2017, D.C.,2410
2018, GA,12670
2018, MD,1100
2018, MA,2150
2018, NY,2110
2018, IL,6440
2018, TX,17500
2018, CO,3240
2018, MI,4950
