Region and country of citizenship,Total,Tourists and business travelers,,Students and exchange visitors2,Temporary workers and families3,Diplomats and other representatives4,All other classes,Unknown
,,Visa waiver1,Other,,,,,
REGION,,,,,,,,
Total,"6,82,27,240","1,78,61,310","4,19,42,170","22,43,560","49,80,290","4,37,330","7,29,070","33,520"
Africa,"7,31,520",X,"5,40,990","79,430","44,400","44,650","21,270",790
Asia,"96,93,550","30,90,710","40,36,650","10,55,620","11,93,960","1,10,010","2,03,500","3,090"
Europe,"1,49,79,370","1,30,96,930","8,25,920","3,58,110","4,80,310","1,54,890","60,460","2,750"
North America,"3,62,64,910",X,"3,22,10,630","5,31,630","30,28,620","68,330","4,09,840","15,860"
Oceania,"13,90,870","12,32,770","43,170","18,940","74,220","18,030","3,550",200
South America,"50,71,540","4,40,910","42,11,140","1,92,120","1,53,060","38,930","27,360","8,030"
Unknown,"95,490",X,"73,660","7,720","5,710","2,490","3,100","2,810"
COUNTRY,,,,,,,,
Total,"6,82,27,240","1,78,61,310","4,19,42,170","22,43,560","49,80,290","4,37,330","7,29,070","33,520"
Afghanistan,"3,720",X,"2,350",710,160,210,220,80
Albania,"24,910",X,"21,170","2,360",490,650,220,20
Algeria,"17,720",X,"15,760",870,280,730,80,10
Andorra,"1,490","1,290",40,90,40,40,0,0
Angola,"5,440",X,"3,690",640,290,750,50,30
Antigua and Barbuda,"16,700",X,"15,690",450,170,300,90,10
Argentina,"6,29,940",X,"5,76,410","18,830","25,830","5,270","2,600","1,000"
Armenia,"18,590",X,"15,270","1,250",830,620,180,430
Australia5,"10,60,570","9,45,480","19,690","13,410","68,000","12,700","1,280",10
Austria,"1,91,680","1,68,580","8,650","4,910","7,100","2,040",400,0
Azerbaijan,"9,170",X,"6,390","1,680",370,650,70,0
Bahamas,"2,88,820",X,"2,75,930","8,620",990,"1,830","1,430",20
Bahrain,"6,240",X,"4,410",810,110,900,20,0
Bangladesh,"62,680",X,"39,510","19,080","1,720","1,800",490,80
Barbados,"47,800",X,"45,280",820,550,750,380,30
Belarus,"11,230",X,"8,620",830,"1,240",250,240,50
Belgium,"2,80,310","2,54,430","7,400","4,820","9,410","3,920",340,0
Belize,"36,320",X,"32,670",970,210,"1,160","1,260",50
Benin,"2,640",X,"1,740",350,80,460,20,0
Bhutan,950,X,450,260,20,210,10,10
Bolivia,"73,340",X,"67,530","3,320",920,"1,000",480,80
Bosnia and Herzegovina,"9,990",X,"7,640","1,050",450,440,390,20
Botswana,"3,330",X,"2,040",500,80,620,100,0
Brazil,"16,49,580",X,"15,11,580","59,730","58,550","9,930","7,720","2,080"
Brunei,"1,210",720,80,110,40,260,0,0
Bulgaria,"38,770",X,"29,380","5,030","1,560",930,"1,850",30
Burkina Faso,"3,890",X,"2,740",350,120,630,40,10
Burma,"8,930",X,"4,740","3,190",150,120,720,0
Burundi,"1,430",X,740,240,30,400,20,0
Cabo Verde,"3,830",X,"3,380",100,60,220,60,10
