country of citizenship,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,"4,150","4,330","4,520","3,580","3,380","3,200","1,760","1,290","2,360","3,720"
Albania,"8,750","9,990","12,880","17,060","20,710","21,460","11,190","8,200","15,750","24,910"
Algeria,"12,470","13,620","14,430","15,240","15,220","16,060","6,140","1,110","6,540","17,720"
Andorra,"1,610","1,340","1,640","1,720","1,950","1,770",660,170,"1,280","1,490"
Angola,"14,720","13,790","10,280","9,600","8,860","7,730","2,740","1,400","3,490","5,440"
Antigua and Barbuda,"14,830","15,020","17,540","15,890","16,870","17,810","7,760","5,610","12,910","16,700"
Argentina,"7,68,470","8,06,700","9,86,570","11,30,000","11,46,410","9,26,590","3,69,660","2,41,220","5,58,400","6,29,940"
Armenia,"8,230","8,650","10,700","13,770","14,270","16,960","10,000","9,670","12,440","18,590"
Australia1,"14,80,180","14,99,350","15,29,050","15,76,900","15,63,990","15,24,310","6,07,870","47,630","5,37,840","10,60,570"
Austria,"2,47,120","2,35,600","2,40,180","2,37,610","2,33,470","2,35,190","92,760","18,330","1,41,620","1,91,680"
Azerbaijan,"7,350","8,420","8,580","9,100","9,010","9,420","3,970","2,350","5,310","9,170"
Bahamas,"2,40,450","2,49,280","2,76,730","3,04,750","2,95,090","3,10,410","1,43,530","1,20,320","2,14,660","2,88,820"
Bahrain,"8,850","9,310","9,660","8,770","8,610","7,510","2,880","2,200","5,330","6,240"
Bangladesh,"43,560","43,940","44,210","40,120","45,350","45,080","18,990","20,450","43,530","62,680"
Barbados,"61,050","62,210","68,630","69,320","69,430","69,590","28,150","9,790","35,700","47,800"
Belarus,"16,170","17,490","21,670","22,590","24,230","25,270","11,650","2,720","5,460","11,230"
Belgium,"3,34,280","3,27,650","3,19,550","3,25,900","3,35,310","3,30,230","1,23,860","19,870","2,09,050","2,80,310"
Belize,"26,580","28,160","31,560","31,340","32,650","33,520","13,740","13,330","28,470","36,320"
Benin,"3,270","3,470","3,420","3,330","3,240","3,090","1,430",780,"1,590","2,640"
Bhutan,"1,030","1,220","1,070","1,160","1,230","1,240",500,180,500,950
