Class,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Other1,Unknown
,"6,82,27,240","1,53,450","1,15,520","29,41,190","98,510","1,24,82,520","7,36,410","2,44,070","46,090","4,60,180","98,70,370","9,33,750","4,78,390","14,95,920","57,330","14,44,160","2,49,720","82,710","1,19,090","1,21,970","3,19,100","95,150","3,82,660","12,03,490","14,05,630","2,83,380","57,800","1,75,780","49,350","2,85,540","23,87,430","63,920","12,76,960","6,19,580","71,72,240","5,33,760","36,740","3,47,510","1,43,230","2,41,830","6,05,150","1,25,870","61,690","1,94,240","21,090","4,23,410","84,73,460","2,49,190","55,200","5,14,310","14,62,060","23,550","1,78,150","25,130","1,95,640","64,06,700"
A1,"41,800",40,80,660,30,"4,140",170,70,10,"8,880","3,170",630,90,180,30,960,40,30,10,0,120,20,"4,170",780,330,80,0,40,0,260,100,0,660,120,"5,620",80,0,40,30,50,120,120,10,10,0,40,"2,680",40,10,"3,260","1,450",10,20,0,10,"2,320"
A2,"1,75,880","1,800",960,"5,350",220,"19,280","1,860",530,620,"21,730","14,470","4,370",990,"4,600","1,050","3,540",340,170,680,140,930,190,"5,850","2,790","1,380",310,280,830,100,620,"2,560",140,"1,850","1,250","20,960",870,40,920,410,270,"1,810",240,670,440,70,650,"17,590",480,60,"9,990","7,180",150,200,40,40,"11,010"
A3,870,0,0,0,0,190,0,0,0,110,140,10,0,10,0,10,0,0,0,0,10,0,40,10,0,10,0,0,0,0,10,0,10,0,140,0,0,10,0,0,0,0,0,0,0,0,30,0,0,40,10,0,0,0,10,70
B1,"48,83,380","24,100","4,790","1,26,640","12,740","8,13,460","83,320","12,390","3,240","42,820","4,36,740","1,07,800","1,320","50,340","5,150","1,71,760","38,590","14,970","18,790","27,770","45,740","4,610","27,530","81,290","79,990","37,230","11,690","30,780","4,490","17,950","1,92,740","3,430","65,350","21,170","2,62,100","59,030","3,540","52,290","16,470","26,200","53,010","11,420","4,430","28,460","2,270","69,220","5,56,740","27,000","1,440","38,050","76,400","2,050","26,670","1,830","5,590","9,38,500"
B2,"3,70,58,780","47,870","47,700","22,31,670","46,970","78,46,760","4,18,220","93,110","17,810","1,39,030","61,89,220","3,80,230","11,970","5,71,230","19,230","6,07,850","89,370","25,890","62,700","34,090","1,36,990","22,110","1,68,570","4,12,440","2,76,150","1,13,130","19,090","61,920","15,750","1,63,130","15,88,340","16,540","6,00,620","5,53,710","24,86,170","2,05,710","10,390","1,03,190","91,850","98,760","2,17,300","75,190","22,580","72,820","5,770","2,00,480","63,25,790","1,18,480","12,630","2,08,220","6,16,090","7,460","58,990","9,180","18,870","30,63,470"
C1,"6,96,660","1,150","2,850","1,020",150,"60,160","1,360",150,100,"3,210","1,19,120","11,330",450,"3,590",50,"9,120","1,740",100,50,110,"4,370",270,"1,120","4,310","10,610","8,920",200,130,120,"1,060",710,90,"7,920",120,"36,400","4,640",210,360,70,890,"5,620","1,410",110,720,40,200,"38,960",590,60,"1,460","28,140",20,210,30,190,"3,20,620"
C2,780,0,0,0,0,20,0,0,0,0,140,20,0,0,0,40,0,0,0,0,0,0,0,0,10,0,0,0,0,10,10,0,10,40,170,0,0,0,0,0,10,0,0,0,0,0,30,0,0,0,10,0,0,0,0,240
C3,"9,130",10,10,0,0,670,0,0,0,60,"2,080",300,80,80,0,50,120,0,0,0,10,0,20,10,10,0,0,0,10,50,10,0,70,0,720,10,0,0,0,0,10,10,0,0,0,0,450,0,0,20,40,0,0,0,0,"4,200"
CW1,"2,060",0,10,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,680",310
